Kanji,Reading,Meaning,Japanese Example,English Example
檻,おり,"cage, pen, jail cell",猫を檻に入れる。,Put the cat in the cage.
オリエンテーション,オリエンテーション,orientation,新入生オリエンテーションが行われた。,The orientation for new students was held.
折り返す,おりかえす,"to turn up, to fold back",先へ進む前に折り返してください。,Please turn back before proceeding further.
織物,おりもの,"textile, fabric",着物の織物が美しい。,The fabric of the kimono is beautiful.
俺,おれ,I (ego) (boastful first-person pronoun),俺はこの仕事をやり遂げる。,I will complete this job.
愚か,おろか,"foolish, stupid",愚かな行動は後悔をもたらす。,Foolish actions lead to regret.
おろそか,おろそか,"neglect, negligence, carelessness",仕事をおろそかにするべきではない。,You should not neglect your work.
おんぶ,おんぶ,carrying on one's back (erg. Baby),赤ちゃんをおんぶする父親。,A father carrying his baby on his back.
オンライン,オンライン,on-line,オンラインで商品を購入する。,Buy products online.
温和,おんわ,"gentle, mild, moderate",その人はとても温和な性格だ。,That person has a very gentle personality.
我,が～,ego,我が国の伝統を守る。,Protect the traditions of our country.
カーペット,カーペット,carpet,リビングに新しいカーペットを敷いた。,Laid a new carpet in the living room.
～界,～かい,"world, circle, kingdom",サッカー界のスーパースター。,A superstar in the world of soccer.
～街,～がい,town,大都会の繁華街を散策する。,Stroll through the bustling streets of the metropolis.
改悪,かいあく,"deterioration, changing for the worse",法律の改悪に反対する声があがった。,There were voices against the worsening of the law.
海運,かいうん,marine transportation,国際海運の規模が拡大している。,The scale of international maritime transport is expanding.
外貨,がいか,foreign money,旅行先で外貨を両替する。,Exchange foreign currency when traveling abroad.
改革,かいかく,"reform, reformation, innovation",教育改革が行われている。,Educational reform is being implemented.
貝殻,かいがら,shell,砂浜に貝殻がたくさん散らばっていた。,There were many seashells scattered on the sandy beach.
外観,がいかん,"appearance, exterior, facade",建物の外観がモダンで印象的だ。,The exterior of the building is modern and impressive.
階級,かいきゅう,"class, rank, grade",階級社会を打破するために努力する。,Strive to break the class society.
海峡,かいきょう,channel,瀬戸内海には多くの美しい海峡がある。,The Seto Inland Sea has many beautiful straits.
会見,かいけん,"interview, conference",首相との会見が予定されている。,A meeting with the prime minister is scheduled.
介護,かいご,nursing,高齢者の介護に従事する。,Engage in elderly care.
開催,かいさい,"holding a meeting, open an exhibition",大規模なイベントの開催が決定した。,The holding of a large-scale event has been decided.
回収,かいしゅう,"collection, recovery",リサイクル品の回収を行う。,Collect recyclable items.
改修,かいしゅう,"repair, improvement",学校の建物の改修工事が進行中。,Renovation work on the school building is in progress.
怪獣,かいじゅう,monster,この映画には巨大怪獣が登場します。,Giant monsters appear in this movie.
解除,かいじょ,"cancellation, release, cancel",契約を解除する必要がある。,There is a need to cancel the contract.
外相,がいしょう,Foreign Minister,その国の外相が訪問中です。,The Foreign Minister of that country is visiting.
害する,がいする,"to harm, to offend",環境に害を及ぼすことは避けなければならない。,We must avoid causing harm to the environment.
概説,がいせつ,"general statement, outline",最初に簡単な概説を行います。,We will start with a brief overview.
回送,かいそう,forwarding,この荷物は速達で回送されます。,This package will be expedited for delivery.
階層,かいそう,"class, level, stratum, hierarchy",組織内の階層がはっきりしている。,The hierarchy within the organization is clear.
開拓,かいたく,"cultivation, pioneer",新たな市場開拓に取り組む。,Engage in the development of new markets.
会談,かいだん,"conversation, interview",重要な会談が予定されています。,Important talks are scheduled.
改定,かいてい,reform,法律の改定が行われた。,A reform of the law was carried out.
改訂,かいてい,revision,教科書の改訂版が出版された。,The revised edition of the textbook was published.
ガイド,ガイド,guide,外国語を話すガイドが案内してくれた。,The guide who spoke foreign languages guided us.
街道,かいどう,highway,古い街道を歩いてみたい。,I want to walk along an old highway.
該当,がいとう,"corresponding, answering to, coming under",この資料は該当のものではありません。,This document does not correspond.
街頭,がいとう,in the street,街頭で演説が行われました。,A speech was given on the street.
ガイドブック,ガイドブック,guidebook,旅行の計画にガイドブックが便利だ。,A guidebook is useful for trip planning.
介入,かいにゅう,intervention,紛争に介入する必要がある。,There is a need to intervene in the conflict.
概念,がいねん,"general idea, concept, notion",その概念は理解しやすい。,That concept is easy to understand.
開発,かいはつ,"development, exploitation",新製品の開発が進んでいる。,The development of a new product is progressing.
海抜,かいばつ,height above sea level,この山の海抜は3000メートルだ。,"The altitude of this mountain is 3,000 meters above sea level."
介抱,かいほう,"nursing, looking after",けが人を介抱するために必要な知識を持っている。,I have the knowledge necessary to care for injured persons.
解剖,かいぼう,"dissection, autopsy",生物の解剖を行う実験が始まった。,Experiments involving the dissection of organisms have begun.
外来,がいらい,"(abbr.) imported, outpatient clinic",外来語は私の日本語能力をテストする。,Foreign words test my Japanese language skills.
回覧,かいらん,circulation,本日のメモは回覧してください。,Please circulate today's memo.
概略,がいりゃく,"outline, summary, gist",プレゼンテーションの概略を説明します。,I will explain the outline of the presentation.
海流,かいりゅう,ocean current,太平洋には熱帯海流が流れている。,The tropical ocean currents flow in the Pacific Ocean.
改良,かいりょう,"improvement, reform",製品の品質を改良する必要がある。,There is a need to improve the quality of the product.
回路,かいろ,circuit (electric),この回路を修理するには専門の知識が必要だ。,Specialized knowledge is needed to repair this circuit.
海路,かいろ,sea route,昔は海路で交易が行われていた。,Trade used to be conducted by sea routes in the past.
省みる,かえりみる,to reflect,反省して自分の過ちを省みた。,I reflected on my mistakes and repented.
顧みる,かえりみる,"to look back, to turn around, to review",未来を見据えて過去を顧みよう。,Let's look back at the past with an eye on the future.
顔付き,かおつき,facial expression,彼女の顔付きから疲れたことが分かった。,I could tell she was tired from her facial expression.
課外,かがい,extracurricular,課外活動は学生の能力を伸ばす。,Extracurricular activities enhance students' abilities.
掲げる,かかげる,"to hoist, to fly (a sail), to float (a flag)",目標を掲げて前進する。,Advance with goals in mind.
かかと,かかと,shoe heel,靴のかかとが壊れてしまった。,The heel of the shoe broke.
書き取る,かきとる,"to write down, to take dictation",講義の内容を書き取りました。,I took notes on the lecture content.
掻き回す,かきまわす,"to stir up, to churn, to disturb",湖の水を掻き回して汚すことは避けなければならない。,We must avoid stirring up and polluting the water in the lake.
かく (はじを),かく (はじを),to humiliate oneself,かく立て自らを恥じる。,To humiliate oneself.
～画,～かく,~ strokes,この漢字は8画です。,This kanji consists of 8 strokes.
学芸,がくげい,"arts and sciences, liberal arts",学校のカリキュラムには学芸も含まれている。,The school curriculum includes arts and sciences.
格差,かくさ,"difference, disparity",この社会には格差が問題となっている。,"In this society, the wealth disparity is becoming a significant issue."
拡散,かくさん,"scattering, diffusion",情報が迅速に拡散される。,Information spreads rapidly.
学士,がくし,university graduate,彼は大学を卒業し学士号を取得した。,He graduated from university and obtained a bachelor's degree.
各種,かくしゅ,"every kind, all sorts",このブランドは各種商品を販売している。,This brand sells various kinds of products.
隔週,かくしゅう,every other week,私たちは隔週で会う予定です。,We plan to meet every other week.
確信,かくしん,"conviction, confidence",彼は自分の力を確信している。,He is confident in his abilities.
革新,かくしん,"reform, innovation",その企業は革新的な製品を開発した。,The company developed innovative products.
学説,がくせつ,theory,この学説はまだ議論中だ。,This theory is still under debate.
確定,かくてい,"fixed, decision",日程は確定しました。,The schedule has been finalized.
カクテル,カクテル,cocktail,パーティーでカクテルを楽しんだ。,I enjoyed cocktails at the party.
獲得,かくとく,"acquisition, possession",彼は多くの賞を獲得した。,He has won many awards.
楽譜,がくふ,"score (music, sheet music)",ピアノの楽譜を読むのは難しい。,Reading piano sheet music is difficult.
確保,かくほ,"guarantee, insure, secure",セキュリティを確保する必要がある。,It is necessary to ensure security.
革命,かくめい,revolution,その国は民主的革命を遂げた。,The country underwent a democratic revolution.
確立,かくりつ,establishment,彼の地位は確立されている。,His position is well established.
賭,かけ,"betting, gambling, a gamble",賭け事はやめたほうがいい。,It's better to quit gambling.
掛～,かけ～,credit,None,None
～掛け,～かけ,"rack, hanger",コートをハンガーに掛けた。,I hung the coat on the rack.
崖,がけ,cliff,その崖からは素晴らしい眺めが見える。,A magnificent view can be seen from that cliff.
駆け足,かけあし,"running fast, double time",最後の部分で駆け足になる。,The pace quickens towards the end.
家計,かけい,"household economy, family finances",家計を立て直す必要がある。,We need to reorganize our family finances.
駆けっこ,かけっこ,(foot) race,子どもたちは公園で駆けっこをした。,The children raced in the park.
加工,かこう,"manufacturing, processing, treatment",この食品は加工食品である。,This food is processed.
化合,かごう,chemical combination,その化学物質は化合が難しい。,The chemical compound is hard to synthesize.
かさばる,かさばる,to be bulky,この荷物はかさばる。,This luggage is bulky.
かさむ,かさむ,"to pile up, to increase",書類がかさむ。,Documents are piling up.
箇条書,かじょうがき,"itemized form, itemization",リストは箇条書きにすると見やすくなる。,Lists are easier to read when itemized.
頭,かしら,"head, chief",この会社の頭は新しい方向性を示した。,The leader of this company showed a new direction.
微か,かすか,"faint, dim, weak",微かな匂いがする。,There is a faint smell.
霞む,かすむ,"to grow hazy, to be misty",朝霞が山々を覆った。,The morning haze covered the mountains.
擦る,かする,"to rub, to chafe",靴を擦って汚れを落とす。,Rub the shoes to remove dirt.
火星,かせい,Mars,火星には何か生命体が存在するかもしれない。,There might be life forms on Mars.
化石,かせき,"fossil, petrifaction, fossilization",この地域は化石が豊富だ。,This area is rich in fossils.
河川,かせん,rivers,河川は水源地から流れ出る。,Rivers flow from their source.
化繊,かせん,synthetic fibers,化繊製品が様々な用途に使われる。,Synthetic fiber products are used for various purposes.
過疎,かそ,depopulation,この地域では過疎が進んでいる。,Depopulation is progressing in this region.
片～,かた～,single ~,片足で立つ練習をする。,Practice standing on one leg.
片言,かたこと,"broken (in reference to speaking style, e.g., Japanese)",外国語が片言しか話せない。,I can only speak broken foreign languages.
傾ける,かたむける,"to incline, to tilt, to bend",傾かせる前にもっと落ち着いて考えましょう。,Let's think more calmly before making it slant.
固める,かためる,"to harden, to freeze, to fortify",土を固めて家を建てる。,Build a house by solidifying the soil.
傍ら,かたわら,"beside(s, while, nearby",川の傍らにひっそりと佇む家々。,Houses silently stand by the river.
花壇,かだん,flower bed,庭に美しい花壇を作りました。,I made a beautiful flower bed in the garden.
家畜,かちく,"domestic animals, livestock, cattle",農家では家畜を飼っています。,The farmer raises livestock.
且つ,かつ,"yet, and",彼は優秀で且つ誠実な人です。,He is both excellent and sincere.
がっくり,がっくり,heartbroken,嘘を知ってがっくりする。,To be heartbroken upon knowing the truth.
合唱,がっしょう,"chorus, singing in a chorus",学生たちは合唱コンクールに参加した。,The students participated in a chorus competition.
がっしり,がっしり,"firmly, solidly, tough",がっしりとした体格を持つ。,To have a solidly built physique.
合致,がっち,"agreement, concurrence, conforming to",証言内容が合致している。,The testimonies match each other.
がっちり,がっちり,"solidly built, tightly",がっちりと締まった服。,Tightly fitting clothes.
かつて,かつて,"once, before, formerly",かつてそこに住んでいた。,I used to live there.
勝手,かって,"kitchen; one's way, selfishness",勝手に人のものを触るな。,Don't touch other people's things without permission.
カット,カット,"cut, cutting",映画のカットが速すぎる。,The movie cuts too quickly.
活発,かっぱつ,"vigor, active",彼女は活発で元気な人だ。,She is a lively and energetic person.
合併,がっぺい,"combination, amalgamation, merger",二つの企業が合併した。,Two companies merged.
カテゴリー,カテゴリー,category,商品はどのカテゴリーに分類されますか。,Which category does the product fall under?
叶う,かなう,to come true,夢が叶いました。,My dream came true.
叶える,かなえる,"to grant (request, wish)",お願いを叶えてください。,Please grant my wish.
金槌,かなづち,(iron) hammer,金槌で釘を打つ。,Hammer nails with a hammer.
かなわない,かなわない,"be beyond one's power, be unable",その願いはかなわない。,That wish cannot come true.
加入,かにゅう,"becoming a member, admission",クラブに加入する。,To join a club.
予て,かねて,"previously, already, lately",予てからの計画通りに進める。,Proceed according to the plan made previously.
庇う,かばう,"to protect someone, to&nbsp;&nbsp;cover up for someone",友達を庇うことは当然だ。,It is natural to protect your friends.
株式,かぶしき,stock,株式投資を始める。,Start investing in stocks.
かぶれる,かぶれる,to react to; to be influenced by,新しいファッションにかぶれる。,To be influenced by new fashion.
花粉,かふん,pollen,春に花粉症がひどくなる。,Hay fever worsens in spring due to pollen.
貨幣,かへい,"money, currency, coinage",貨幣価値が下落する。,The value of currency is decreasing.
構える,かまえる,to set up,物事に臨む構えが大切だ。,It is important to face things with a ready attitude.
過密,かみつ,crowded,大都市では電車が過密で乗れないことがある。,"In big cities, trains can get overcrowded to the point of being impossible to board."
噛み切る,かみきる,"to bite off, to gnaw through",ジョーズはボートを噛み切った。,Jaws bit through the boat.
カムバック,カムバック,comeback,昨年の優勝者がカムバックを果たした。,Last year's champion made a comeback.
カメラマン,カメラマン,cameraman,ニュースの現場でカメラマンが撮影をしている。,The cameraman is filming on the scene of the news.
粥,かゆ,rice porridge,具だくさんの粥が食べたい。,I want to eat porridge with lots of ingredients.
体付き,からだつき,"body build, figure",スポーツ選手の体付きは見るからに鍛えられている。,The athlete's body build looks trained just by looking at it.
絡む,からむ,"to entangle, to entwine",シャツのボタンが絡んで開かない。,The button on the shirt is entangled and won't open.
かりに,かりに,"temporarily; if, for argument's sake",かりにその話が本当なら、どうする？,"If, for instance, that story were true, what would you do?"
カルテ,カルテ,clinical records (GER: Karte),病院でカルテを受け取る。,Receive medical records at the hospital.
ガレージ,ガレージ,garage (at house),車をガレージに停める。,Park the car in the garage at home.
過労,かろう,"overwork, strain",過労で倒れる危険がある。,There is a risk of collapsing from overwork.
かろうじて,かろうじて,"barely, narrowly",かろうじて試験に合格した。,Barely passed the exam.
交す,かわす,to exchange,挨拶を交す。,Exchange greetings.
代る代る,かわるがわる,alternately,友達と代る代る遊びました。,We played alternately with my friend.
簡易,かんい,"simplicity, easiness, quasi-",簡易な解説をお願いします。,Please give a simple explanation.
灌漑,かんがい,irrigation,この地域の灌漑システムは優れています。,The irrigation system in this area is excellent.
眼科,がんか,ophthalmology,眼科クリニックに通っています。,I go to the ophthalmology clinic.
眼球,がんきゅう,eyeball,眼球の運動をテストしてください。,Please test the movement of the eyeball.
玩具,がんぐ,toy,子供たちは玩具で遊んで楽しんでいます。,The children are having fun playing with toys.
簡潔,かんけつ,"brevity, concise, simple",要点を簡潔にまとめてください。,Please summarize the main points concisely.
還元,かんげん,"resolution, reduction, return",物質は熱によって還元されます。,The substance is reduced by heat.
看護,かんご,nursing,看護師は患者を丁寧にケアします。,Nurses take care of patients carefully.
漢語,かんご,"Chinese word, Sino-Japanese word",漢語を学ぶことは興味深いです。,Studying Chinese words is interesting.
頑固,がんこ,"stubbornness, obstinacy",彼は頑固な性格をしています。,He has a stubborn personality.
勧告,かんこく,"advice, counsel",重要な勧告を受けました。,I received an important advice.
換算,かんさん,"conversion, change, exchange",通貨を換算する必要があります。,We need to convert the currency.
監視,かんし,"observation, guarding, surveillance",セキュリティカメラで監視している。,We are monitoring with security cameras.
慣習,かんしゅう,usual (historical) custom,この地域の慣習を尊重する。,Respect the customs of this region.
観衆,かんしゅう,"spectators, audience",コンサートの観衆は多かった。,There were many spectators at the concert.
願書,がんしょ,application form,大学に入学するための願書を書いた。,I wrote an application form to enter university.
干渉,かんしょう,"interference, intervention",他人の問題に干渉するべきではない。,One should not interfere in other people's issues.
頑丈,がんじょう,"solid, firm, strong",この建物は頑丈な作りです。,This building is solidly constructed.
感触,かんしょく,"sense of touch, feeling, sensation",新しい布の感触が心地よい。,The touch of the new fabric feels pleasant.
肝心,かんじん,"essential, fundamental, crucial",会議で肝心なポイントを述べた。,I mentioned the crucial points at the meeting.
肝腎,かんじん,"essential, fundamental, crucial",ケガの原因は肝腎とのことだ。,The main cause of the injury is crucial.
関税,かんぜい,"customs, duty, tariff",今日から関税が導入される。,Tariffs will be introduced starting today.
岩石,がんせき,rock,山の斜面には多くの岩石がある。,There are many rocks on the slope of the mountain.
感染,かんせん,"infection, contagion",感染症を防ぐために予防策を取る。,Take preventive measures to prevent infection.
幹線,かんせん,"main line, trunk line",都市間を結ぶ幹線道路が渋滞している。,The main road connecting cities is congested.
簡素,かんそ,"simplicity, plain",簡素なデザインが好きだ。,I like simple designs.
観点,かんてん,point of view,問題を客観的な観点から考える。,Consider the issue from an objective point of view.
感度,かんど,"sensitivity, severity (quake)",地震の感度を向上させる技術が重要だ。,Technology to improve earthquake sensitivity is important.
カンニング,カンニング,"cunning, cheat",試験でカンニングをすることは許されない。,Cheating on exams is not allowed.
元年,がんねん,first year (of a specific reign),新元号が明治元年に決まった。,The new era name was decided in the first year of Meiji.
幹部,かんぶ,"management, executive",会社の幹部会議が開催された。,The company's executive meeting was held.
完ぺき,かんぺき,"perfection, completeness, flawless",その計画は完ぺきな完了を迎えた。,The plan has reached perfect completion.
勘弁,かんべん,"pardon, forgiveness, forbearance",罰金を勘弁してください。,Please forgive the fine.
感無量,かんむりょう,"deep feeling, filled with emotion",喜びで感無量だ。,I am filled with deep emotions of joy.
勧誘,かんゆう,"invitation, canvassing, inducement",新メンバーの勧誘を行う。,Recruit new members by invitation.
関与,かんよ,"participation, taking part in",問題に関与しないことを決めた。,I decided not to get involved in the issue.
寛容,かんよう,"forbearance, tolerance, generosity, involvement",他人への寛容を持つことが大切だ。,It is important to have tolerance towards others.
元来,がんらい,"originally, naturally",元来、彼女は穏やかな性格だった。,She has been naturally calm by nature.
観覧,かんらん,viewing,美術展を観覧する予定だ。,I plan to view the art exhibition.
慣例,かんれい,"custom, precedent, of convention",慣例に従って行動する。,Act in accordance with custom.
還暦,かんれき,60th birthday,彼は還暦を迎えた。,He has reached his 60th birthday.
貫禄,かんろく,"presence, dignity",彼の貫禄ある態度に皆が感心した。,Everyone was impressed by his dignified demeanor.
緩和,かんわ,"relief, mitigation",政府は緩和策を導入した。,The government implemented relief measures.
議案,ぎあん,legislative bill,この議案は来週の会議で取り上げられる予定だ。,This legislative bill is expected to be discussed at next week's meeting.
危害,きがい,"injury, harm, danger",彼女は危害を受けた。,She was harmed.
企画,きかく,"planning, project",新しいプロジェクトの企画を立てる。,To plan a new project.
規格,きかく,"standard, norm",製品の規格を満たしている。,The product meets the standard.
着飾る,きかざる,to dress up,パーティーのために着飾る。,Dress up for the party.
気兼ね,きがね,"hesitance, diffidence, feeling constraint",気兼ねなく話してください。,Please feel free to speak without hesitation.
気軽,きがる,"cheerful, buoyant, lighthearted",彼女はいつも気軽な笑顔を見せている。,She always has a cheerful smile.
危機,きき,crisis,経済危機が深刻化している。,The economic crisis is worsening.
聞き取り,ききとり,listening comprehension,日本語の聞き取りが上達した。,Listening comprehension in Japanese has improved.
効き目,ききめ,"effect, virtue, efficacy",この薬の効き目は早い。,This medicine works quickly.
帰京,ききょう,returning to Tokyo,出張から帰京する。,Return to Tokyo from a business trip.
戯曲,ぎきょく,"play, drama",有名な戯曲を読む。,Read a famous play.
基金,ききん,"fund, foundation",地域社会のための基金を設立する。,Establish a fund for the local community.
喜劇,きげき,"comedy, funny show",その喜劇は笑いを誘った。,That comedy elicited laughter.
議決,ぎけつ,"resolution, decision, vote",重要な議案の議決が行われた。,A decision was made on the crucial legislative bill.
棄権,きけん,"abstain from voting, renunciation of a right",彼は投票権を行使せずに棄権した。,He abstained from voting by not exercising his right to vote.
既婚,きこん,married,彼は既婚者だ。,He is married.
気障,きざ,"affectation, conceit, snobbery",彼の気障な態度に不快感を覚えた。,I felt discomfort with his affected attitude.
記載,きさい,"mention, entry",書類に必要事項を記載する。,Record necessary details in the document.
兆,きざし,"sign, omen, indication",彼女は幸せな未来の兆しを感じた。,She felt signs of a happy future.
気質,きしつ,"character, trait, temperament",彼の気質は穏やかだ。,His temperament is gentle.
期日,きじつ,"fixed date, settlement date",契約の期日を守る。,Meet the deadline of the contract.
きしむ,きしむ,"to jar, to creak, to grate",古い床はきしむ音を立てた。,The old floor made a creaking sound.
議事堂,ぎじどう,Diet building,国会議事堂に議員が集まった。,Members of parliament gathered at the Diet building.
記述,きじゅつ,"describing, descriptor",レポートの記述を修正する。,Revise the description in the report.
気象,きしょう,"weather, climate",今日の気象情報を確認する。,Check today's weather forecast.
傷付く,きずつく,"to be hurt, to be wounded, to get injured",彼は心で傷付いた。,He was hurt emotionally.
傷付ける,きずつける,"to wound, to hurt someone's feelings",他人を傷付けることは許されない。,It is not permitted to hurt others.
犠牲,ぎせい,sacrifice,彼は自己犠牲を払った。,He made a sacrifice.
汽船,きせん,steamship,昔は汽船で渡ることが一般的だった。,"In the past, it was common to cross by steamship."
寄贈,きぞう,"donation, presentation",美術館に絵画を寄贈する。,Donate a painting to the art museum.
偽造,ぎぞう,"forgery, fabrication, counterfeiting",偽造品は犯罪行為だ。,Counterfeit goods are a criminal offense.
貴族,きぞく,"noble, aristocrat",彼は当地の貴族だと言われている。,He is said to be a local noble.
議題,ぎだい,"topic of discussion, agenda",本日の会議の議題は何ですか。,What is the agenda for today's meeting?
鍛える,きたえる,"to forge, to train, to discipline",体を鍛えて健康な体を作る。,Train the body to create a healthy physique.
気立て,きだて,"good-natured, kind-hearted",彼女はとても気立ての良い人だ。,She is a very kind-hearted person.
来る,きたる,"to come, to approach,",彼が来ると言っていた。,He said he would come.
きちっと,きちっと,"exactly, perfectly",約束の時間にきちっと間に合った。,I arrived exactly on time for the appointment.
几帳面,きちょうめん,"methodical, punctual, steady",彼女はとても几帳面な性格だ。,She has a very methodical personality.
きっかり,きっかり,"exactly, precisely",約束の時間にきっかりと現れた。,He appeared exactly on time for the appointment.
きっちり,きっちり,"precisely, tightly",計画はきっちりと守られていた。,The plan was executed precisely.
きっぱり,きっぱり,"clearly, plainly, distinctly",彼はきっぱりと彼女との関係を終わらせた。,He decisively ended his relationship with her.
規定,きてい,"regulation, provisions",この案件には特定の規定がある。,There are specific regulations for this matter.
起点,きてん,starting point,成功への第一歩は起点となる。,The first step towards success is the starting point.
軌道,きどう,orbit; track,宇宙船が軌道に乗った。,The spaceship entered its orbit.
技能,ぎのう,"technical skill, ability, capacity",彼は優れた技能を持っている。,He possesses excellent technical skills.
規範,きはん,"model, standard, example",彼女は会社の規範に従って行動している。,She acts in accordance with the company's standards.
気品,きひん,"grace, elegance",その演説には気品が感じられた。,The speech carried an air of elegance.
気風,きふう,"character, traits, ethos",その地域の気風を理解する。,To understand the character and ethos of that region.
起伏,きふく,undulation,山陰は起伏の激しい地形だ。,The San'in region has a rugged undulating terrain.
規模,きぼ,"scale, scope, plan, structure",この工場は大きな規模を持っている。,This factory has a large scale.
気まぐれ,きまぐれ,"whim, caprice, uneven temper",彼女の気まぐれな態度にはついていけない。,I can't keep up with her whimsical behavior.
生真面目,きまじめ,"serious, sincerity",彼は真面目で生真面目な人だ。,He is a serious and sincere person.
期末,きまつ,(end of the season or term),期末テストは難しくなるだろう。,The end-of-term test will probably be difficult.
きまりわるい,きまりわるい,"feeling awkward, being ashamed",彼は場所違いに立っていて、きまりわるい。,He is standing in the wrong place and feeling awkward.
記名,きめい,"signature, register",書類に必ず記名してください。,Please sign your name on the document.
規約,きやく,"agreement, rules, code",このクラブには厳しい規約がある。,This club has strict rules and regulations.
脚色,きゃくしょく,"dramatization (e.g., film",その小説は脚色されて映画化された。,The novel was dramatized and made into a movie.
逆転,ぎゃくてん,"(sudden) change, reversal, turn-around",試合は逆転して相手チームが勝った。,The game turned around and the opposing team won.
脚本,きゃくほん,scenario,映画の脚本を書くのは大変な作業だ。,Writing a movie script is a tough job.
華奢,きゃしゃ,"delicate, slender",その花瓶は華奢で美しい。,The vase is delicate and beautiful.
客観,きゃっかん,objective,客観的な視点から物事を見る。,See things from an objective point of view.
キャッチ,キャッチ,catch,野球の試合で素晴らしいキャッチが見られた。,A spectacular catch was seen in the baseball game.
キャリア,キャリア,"career, career government employee",彼は政府のキャリアを選んだ。,He chose a career as a government employee.
救援,きゅうえん,"relief, rescue, reinforcement",地震で被害を受けた町に救援物資が届けられた。,Relief supplies were delivered to the town affected by the earthquake.
休学,きゅうがく,"temporary absence from school, suspension",留学のために一年間休学した。,I took a year off from school to study abroad.
究極,きゅうきょく,"ultimate, final, eventual",成功までの究極の方法を見つける。,Find the ultimate method to achieve success.
窮屈,きゅうくつ,"narrow, tight, formal",この服は窮屈で動きづらい。,This clothing is tight and uncomfortable to move in.
球根,きゅうこん,(plant) bulb,花の球根を植えた。,Planted flower bulbs.
救済,きゅうさい,"relief, aid, rescue",困っている人を救済する。,To provide relief for those in need.
給仕,きゅうじ,waiter,レストランで給仕のアルバイトをする。,Work part-time as a waiter at a restaurant.
給食,きゅうしょく,"school lunch, providing a meal",学校で給食を提供している。,Providing school meals at the school.
休戦,きゅうせん,"truce, armistice",交渉のために一時的な休戦を申し入れた。,Proposed a temporary ceasefire for negotiations.
宮殿,きゅうでん,palace,王の宮殿はとても壮大だ。,The king's palace is grand.
旧知,きゅうち,"old friend, old friendship",彼は彼女との旧知の仲だ。,He has an old friendship with her.
窮乏,きゅうぼう,poverty,国の窮乏が深刻化している。,The poverty in the country is worsening.
寄与,きよ,"contribution, service",その企業は社会への寄与が大きい。,That company makes a significant contribution to society.
強,きょう,strong,彼は強い人間だ。,He is a strong person.
～狂,～きょう,"maniac, fan, freak",彼はサッカー狂だ。,He is a soccer fanatic.
驚異,きょうい,"wonder, miracle",その科学的発見は驚異的だ。,That scientific discovery is a wonder.
教科,きょうか,"subject, curriculum",数学は難しい教科だ。,Mathematics is a difficult subject.
協会,きょうかい,"association, society, organization",彼はその協会のメンバーだ。,He is a member of the association.
共学,きょうがく,coeducation,私の学校は共学だ。,My school is coeducational.
共感,きょうかん,"sympathy, response",彼女は私の気持ちに共感してくれた。,She sympathized with my feelings.
境遇,きょうぐう,"environment, circumstances",彼の境遇は厳しい。,His circumstances are harsh.
教訓,きょうくん,"lesson, precept, moral instruction",人生から得るべき教訓は多い。,There are many lessons to be learned from life.
強行,きょうこう,"forcing, enforcement",政府は強行採決を行った。,The government carried out a forced decision.
強硬,きょうこう,"firm, vigorous, stubborn",彼は強硬的な姿勢を見せた。,He displayed a stubborn attitude.
教材,きょうざい,teaching materials,その教材はとても役に立つ。,Those teaching materials are very useful.
凶作,きょうさく,"bad harvest, poor crop",今年は凶作だった。,This year was a bad harvest.
業者,ぎょうしゃ,"trader, merchant",彼は有名な業者だ。,He is a famous trader.
教習,きょうしゅう,"training, instruction",免許を取るために教習所に通った。,I attended driving school to get my license.
郷愁,きょうしゅう,"nostalgia, homesickness",ふるさとへの郷愁にかられた。,I was filled with nostalgia for my hometown.
教職,きょうしょく,teaching profession,彼女は教職に就いている。,She is in the teaching profession.
興じる,きょうじる,"to amuse oneself, to make merry",友達と興じて楽しんだ。,I had fun amusing myself with my friends.
強制,きょうせい,"obligation, compulsion, enforcement",彼は強制労働をさせられている。,He is being compelled to do forced labor.
行政,ぎょうせい,administration,彼は行政官として働いている。,He works as a government official.
業績,ぎょうせき,"achievement, work, contribution",会社の業績が向上した。,The company's performance has improved.
共存,きょうぞん,coexistence,異なる文化が平和に共存する。,Different cultures coexist peacefully.
協定,きょうてい,"arrangement, pact, agreement",両国は貿易協定に署名した。,The two countries signed a trade agreement.
郷土,きょうど,homeland,母の郷土を訪れる。,To visit my mother's homeland.
脅迫,きょうはく,"threat, coercion",彼は脅迫された。,He was threatened and coerced.
業務,ぎょうむ,"business, duties, work",新しい業務に取り組む。,To tackle new business tasks.
共鳴,きょうめい,"resonance, sympathy",音楽に心が共鳴する。,My heart resonates with the music.
郷里,きょうり,"birth-place, home town",郷里への帰郷を夢見る。,Dreaming of returning to my hometown.
強烈,きょうれつ,"strong, intense, severe",彼は強烈な印象を残した。,He left a strong impression.
共和,きょうわ,"republicanism, cooperation",共和国の理念に賛同する。,To support the ideals of republicanism.
局限,きょくげん,"limit, localize",考えを局限しないようにする。,To avoid limiting one's thoughts.
極端,きょくたん,"extreme, extremity",彼女は極端な意見を持っている。,She holds extreme opinions.
居住,きょじゅう,residence,この地域での居住が快適だ。,Residence in this area is comfortable.
拒絶,きょぜつ,"refusal, rejection",その申し出を拒絶する。,To reject that offer.
