Kanji,Reading,Meaning,Japanese Example,English Example
追う,おう,"to chase, to run after",その犬が猫を追っている。,The dog is chasing the cat.
応援,おうえん,"aid, assistance, help",試合でチームを応援する。,To cheer for the team during the match.
王様,おうさま,king,ベッドの上で王様が眠っている。,The king is sleeping on the bed.
王子,おうじ,prince,おとぎ話には王子が出てくることが多い。,Princes often appear in fairy tales.
応じる,おうじる,"to adapt, to respond, to comply with",要求に応じることは重要だ。,It is important to respond to requests.
横断,おうだん,crossing,大通りを横断するときは注意が必要だ。,"When crossing the main street, caution is necessary."
終える,おえる,to finish,仕事を終えてから帰る。,Finish work before going home.
大いに,おおいに,"much, considerably (same as 大変 (たいへん)), greatly",彼女は大いに喜んでいた。,She was greatly pleased.
覆う,おおう,"to cover, to hide, to conceal",テーブルクロスでテーブルを覆う。,Cover the table with a tablecloth.
大家,おおや,landlord,アパートの大家に家賃を払う。,Pay the rent to the apartment landlord.
丘,おか,"hill, height",丘の上に夕日が沈む。,The sun sets behind the hill.
沖,おき,open sea,船は沖を目指して進んでいた。,The ship was heading towards the open sea.
奥,おく,"interior, inner part",森の奥で小さな家を見つけた。,Found a small house deep in the forest.
贈る,おくる,"to present, to give to, to award to",友達に誕生日プレゼントを贈った。,Gave a birthday present to a friend.
起こる,おこる,"to occur, to happen",事故が起こって道路が渋滞している。,"An accident has occurred, causing a traffic jam."
押える,おさえる,"to stop, to restrain, to press down",怒りを抑えることが大切だ。,It is important to control one's anger.
幼い,おさない,"very young, childish",彼の幼い頃の思い出を聞いた。,He talked about his childhood memories.
収める,おさめる,"to store to pay, to supply",収入を節約に収める。,Save income for savings.
納める,おさめる,"to store to pay, to supply",税金を納める期限が迫っている。,The deadline for paying taxes is approaching.
治める,おさめる,"to govern, to manage; to subdue",彼は部下を上手に治めている。,He manages his subordinates well.
お辞儀,おじぎ,bow,会議でお辞儀をするのが日本の礼儀だ。,Bowing in a meeting is Japanese etiquette.
お洒落,おしゃれ,"smartly dressed, fashion-conscious",彼女はいつもお洒落をしている。,She is always dressed stylishly.
お喋り,おしゃべり,"chattering, talk",友達とお喋りするのが楽しい。,It is fun to chat with friends.
汚染,おせん,"pollution, contamination",環境が汚染されている。,The environment is polluted.
恐らく,おそらく,perhaps,恐らく明日雨が降るだろう。,It will probably rain tomorrow.
恐れる,おそれる,"to fear, to be afraid of",彼は暗闇を恐れている。,He is afraid of the dark.
恐ろしい,おそろしい,"terrible, dreadful",彼は恐ろしい夢を見た。,He had a terrible dream.
教わる,おそわる,to be taught,新しい技術を教わった。,Learned a new technique.
お互い,おたがい,"mutual, reciprocal, each other",お互いが理解し合える関係が理想的だ。,An ideal relationship where both parties can understand each other.
穏やか,おだやか,"calm, gentle, quiet",公園で穏やかな午後を過ごした。,Spent a calm afternoon in the park.
男の人,おとこのひと,man,道で男の人に道を尋ねた。,Asked a man for directions on the road.
大人しい,おとなしい,"obedient, docile, quiet",犬が大人しい性格だ。,The dog has a quiet personality.
劣る,おとる,"to fall behind, to be inferior to",その選手は他の選手に劣っている。,That player is inferior to the other players.
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",お化け屋敷で鬼ごっこをする。,Playing tag with demons in the haunted house.
帯,おび,"band, sash",浴衣に帯を締める。,Tying a sash around the yukata.
お昼,おひる,"lunch, noon",毎日お昼にカフェでランチを食べる。,I have lunch at a cafe every day.
オフィス,オフィス,office,彼女は毎日オフィスで働いている。,She works at the office every day.
溺れる,おぼれる,"to be drowned, to indulge in",泳ぐのが苦手なので、水に溺れるのが怖い。,"I'm not good at swimming, so I'm afraid of drowning."
お前,おまえ,"you (sing), presence (of a high personage)",お前が好きだ。,I like you.
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",おめでとうございます！合格です。,Congratulations! You passed.
お目に掛かる,おめにかかる,"meet ~, see ~",お目に掛かることを楽しみにしています。,I'm looking forward to meeting you.
思い付く,おもいつく,"to think of, to hit upon",解決策が思い付かない。,I can't think of a solution.
思い出,おもいで,"memories, recollections, reminiscence",昔の思い出を振り返る。,Looking back on old memories.
主に,おもに,"mainly, primarily",このショップは主に若者をターゲットにしている。,This shop mainly targets young people.
思わず,おもわず,"unintentional, spontaneous",その景色に思わず息をのむ。,I couldn't help but gasp at the scenery.
泳ぎ,およぎ,swimming,プールで泳ぎを楽しむ。,Enjoy swimming in the pool.
およそ,およそ,"about, roughly, approximately",道までおよそ５分かかる。,It takes about 5 minutes to walk to the street.
及ぼす,およぼす,"to exert, to cause, to exercise",成功に対してポジティブな影響を及ぼす。,Have a positive impact on success.
下す,おろす,"to lower, to let go down",窓から目を下してお辞儀する。,Lower your eyes from the window and bow.
降ろす,おろす,"to take down, to launch, to drop",荷物を車から降ろす。,Unload the luggage from the car.
卸す,おろす,"to sell wholesale, grated (vegetables)",野菜を卸している市場に行く。,Go to the market that sells wholesale vegetables.
音,おん,"sound, note",音楽を聞くのが好きだ。,I like listening to music.
恩,おん,"favor, obligation, debt of gratitude",彼には多くの恩がある。,He owes a lot to him.
温暖,おんだん,warmth,温暖な気候が好きだ。,I like warm climates.
温度,おんど,temperature,体温を温度計で測る。,Measure body temperature with a thermometer.
可,か,passable,その提案は受け入れ可能です。,The proposal is acceptable.
蚊,か,mosquito,夏には蚊にさされる。,Get bitten by mosquitoes in the summer.
課,か,"department, division",日本語の課に参加する。,Participate in the Japanese language class.
カー,カー,car,高速道路をカーで走る。,Drive on the highway by car.
カード,カード,"card, curd",クレジットカードを使って支払う。,Pay with a credit card.
貝,かい,"shell, shellfish",貝を集めて海岸を歩く。,Collect shells and walk along the coast.
害,がい,"harm, damage",環境への害を最小限に抑える。,Minimize harm to the environment.
会員,かいいん,"member, the membership",新しい会員を募集する。,Recruit new members.
絵画,かいが,"picture, painting",美術館で有名な絵画を見る。,See famous paintings at the art museum.
海外,かいがい,"foreign, abroad, overseas",海外旅行に行くのは夢だ。,Going abroad is a dream.
会計,かいけい,"account, finance",経理の会計士は数字に強い。,The accountant in accounting is good with numbers.
解決,かいけつ,"settlement, solution, resolution",問題の解決に取り組む。,Work on solving the problem.
会合,かいごう,"meeting, assembly",重要な会合があるため、欠席できません。,I can't miss this important meeting.
外交,がいこう,diplomacy,外交政策を研究する。,Study foreign diplomacy.
開始,かいし,"start, commencement, beginning",プロジェクトの開始日が近づいている。,The start date of the project is approaching.
解釈,かいしゃく,"explanation, interpretation",彼の言葉の解釈について意見を述べる。,Express opinions on the interpretation of his words.
外出,がいしゅつ,"outing, going out",週末に友達と外出する。,Go out with friends on the weekend.
改善,かいぜん,"betterment, improvement",このプロジェクトを改善するための提案を考えています。,I am thinking of proposals to improve this project.
快適,かいてき,"pleasant, agreeable",このホテルの客室は快適でした。,The hotel room was comfortable.
回復,かいふく,"recovery (from illness), rehabilitation, restoration",手術後、回復が早かった。,The recovery was quick after the surgery.
飼う,かう,to keep; to own (a pet); to raise; to feed,友達がかわいい犬を飼っています。,My friend has a cute dog.
帰す,かえす,to send back,間違った商品を帰すことができますか？,Can I return the wrong item?
代える,かえる,"to exchange, to interchange, to substitute",彼の意見は私の考え方を代えさせた。,His opinion made me change my way of thinking.
替える,かえる,"to exchange, to interchange, to substitute",この服はサイズが合わないので、替えたいです。,"This clothes doesn't fit me, so I want to change it."
換える,かえる,"to exchange, to interchange, to substitute",お金を換えるために銀行に行きました。,I went to the bank to exchange money.
反る,かえる,"to warp, to be warped, to curve",木材は湿気で反ることがあります。,Wood can warp due to humidity.
香り,かおり,"aroma, fragrance",朝の庭に漂う花の香りが好きです。,I like the scent of flowers wafting in the morning garden.
画家,がか,painter,彼女は有名な画家です。,She is a famous painter.
抱える,かかえる,to hold or carry under or in the arms,大きな荷物を抱えていたので、助けてあげました。,I helped him because he was carrying a big bag.
価格,かかく,"price, value",この商品の価格は高すぎます。,The price of this product is too high.
化学,かがく,chemistry,高校で化学を勉強しています。,I am studying chemistry in high school.
輝く,かがやく,"to shine, to glitter, to sparkle",星が夜空に輝いていた。,The stars were shining in the night sky.
係,かかり,person in charge,この会社の営業部門の係長をしています。,I am the head of the sales department of this company.
罹る,かかる,to suffer from,風邪に罹ったので、病院に行きます。,"I caught a cold, so I will go to the hospital."
限る,かぎる,"to restrict, to limit, to confine",時間を守るためには制限を設けるべきです。,"To keep time, there should be limits."
掻く,かく,to scratch,猫が頭を掻いている。,The cat is scratching its head.
描く,かく,"to draw, to depict, to describe",絵を描くのが好きです。,I like drawing pictures.
嗅ぐ,かぐ,"to sniff, to smell",新鮮なパンの香りが漂ってきた。,The scent of fresh bread wafted over.
家具,かぐ,furniture,新しい家具を買いたいです。,I want to buy new furniture.
学,がく,"learning, knowledge",学ぶことは楽しいです。,Learning is enjoyable.
額,がく,amount; frame,この絵の額が高価そうです。,The frame of this picture seems expensive.
覚悟,かくご,"resolution, resignation, readiness",厳しい状況にも負けず覚悟を決める。,Decide on your resolve without losing in tough situations.
確実,かくじつ,"certainty, reliability, soundness",演技の成功は確実だった。,The success of the performance was certain.
学者,がくしゃ,scholar,私の祖父は有名な学者でした。,My grandfather was a famous scholar.
学習,がくしゅう,"study, learning",新しい言語の学習を始めました。,I started learning a new language.
隠す,かくす,"to hide, to conceal",秘密を隠すのは難しいことです。,It's difficult to hide a secret.
拡大,かくだい,"magnification, enlargement",プレゼンテーションのために図を拡大しました。,I enlarged the picture for the presentation.
確認,かくにん,"affirmation, confirmation",情報の正確性を確認しました。,I confirmed the accuracy of the information.
学問,がくもん,"scholarship, study, learning",学問の専門家として尊敬されています。,He is respected as an expert in scholarship.
隠れる,かくれる,"to hide, to be hidden",木の陰に隠れて涼んだ。,I hid in the shade of the tree and cooled off.
影,かげ,"shade, shadow, other side",月明かりの影が廊下に広がっていた。,The moonlight shadow spread across the hallway.
陰,かげ,"shade, shadow, other side",日陰の方が涼しい。,The shade is cooler.
欠ける,かける,to be lacking,満月は欠けていなかった。,The full moon was not lacking.
加減,かげん,adjustment; addition and subtraction,スパイスの加減を調整しました。,I adjusted the amount of spices.
過去,かこ,past,過去の過ちから学ぶべきだ。,We should learn from past mistakes.
籠,かご,"basket, cage",籠に小鳥が入っていました。,There was a small bird in the cage.
囲む,かこむ,"to surround, to encircle",友達に囲まれて楽しい時間を過ごした。,I had a good time surrounded by friends.
火災,かさい,"conflagration, fire",火災が発生しました。,A conflagration has occurred.
重なる,かさなる,"to be piled up, lie on top of one another",色々な問題が重なっています。,Various issues are piling up.
重ねる,かさねる,"to pile up, to put something on another, to heap up",重ねてお礼を言いました。,I expressed my thanks repeatedly.
飾り,かざり,decoration,クリスマスツリーに飾りをつける。,Decorate the Christmas tree with ornaments.
貸し,かし,"loan, lending",友達に本を貸しました。,I lent a book to my friend.
菓子,かし,"confectionery, sweet",お土産に和菓子を買いました。,I bought Japanese sweets as souvenirs.
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),家事を手伝う。,Help with household chores.
賢い,かしこい,"wise, clever, smart",彼は賢い判断をする。,He makes wise decisions.
歌手,かしゅ,singer,彼女は有名な歌手です。,She is a famous singer.
数,かず,"number, figure, amount",数学の勉強をする。,Study mathematics.
稼ぐ,かせぐ,"to earn income, to labor",彼は一生懸命働いてお金を稼ぐ。,He works hard to earn money.
数える,かぞえる,to count,リンゴを数える。,Count the apples.
型,かた,"mold, model, style",新しい型の携帯電話を買った。,I bought a new model of mobile phone.
肩,かた,shoulder,肩が凝っています。,My shoulders are stiff.
堅い,かたい,"hard, firm, solid",このパンは堅くて食べにくい。,This bread is hard and difficult to eat.
硬い,かたい,"hard, firm, solid",硬貨を見つけました。,I found a hard coin.
方々,かたがた,persons,多くの方々が参加しました。,Many people participated.
片付く,かたづく,"to put in order, to solve",部屋を片付ける。,Tidy up the room.
刀,かたな,"sword, saber",侍は刀を持っています。,The samurai carries a sword.
語る,かたる,"to talk, to tell, to recite",昔話を語る。,Tell an old story.
勝ち,かち,"win, victory",試合に勝ちました。,Won the game.
価値,かち,"value, worth, merit",その絵には高い価値がある。,That painting has great value.
がっかり,がっかり,"feel disappointed, be dejected, lose heart",試験に落ちてがっかりした。,I was disappointed to fail the exam.
活気,かっき,vigor; liveliness; vitality; energy,市場は活気に満ちている。,The market is filled with vitality.
楽器,がっき,musical instrument,楽器を演奏する。,Play a musical instrument.
学期,がっき,term (school),新しい学期が始まりました。,A new school term has begun.
活動,かつどう,"action, activity",サークルで活動する。,Participate in club activities.
活躍,かつやく,activity,スポーツ選手が活躍している。,The athlete is performing actively.
活用,かつよう,conjugation; practical use,この表現を活用してください。,Please utilize this expression.
仮定,かてい,"assumption, supposition, hypothesis",仮定に基づいて論じる。,Argue based on assumptions.
過程,かてい,process,プロジェクトの過程を考える。,Consider the process of the project.
課程,かてい,"course, curriculum",講座を通して課程を理解する。,Understand the curriculum through the course.
悲しむ,かなしむ,"to be sad, to mourn for, to regret",友達の死を悲しんだ。,Mourned the death of a friend.
必ずしも,かならずしも,"(not) always, (not) necessarily",必ずしも成功とは限らない。,Success is not always guaranteed.
かなり,かなり,"considerably, fairly, quite",かなり深い考えを持っている。,I have quite deep thoughts.
金,かね,"gold, metal; money",お金を貯める。,Save money.
鐘,かね,"bell, chime",教会の鐘が鳴る。,The church bell is ringing.
可能,かのう,"possible, practicable, feasible",その計画は可能ですか？,Is that plan feasible?
株,かぶ,stock; stump (of tree),株を売買する。,Trade stocks.
被る,かぶる,to wear; to be covered with,雨に被れないように傘を持って行きましょう。,Let's take an umbrella so we don't get rained on.
我慢,がまん,"patience, endurance, perseverance",彼は過酷な状況にもかかわらず、我慢強く挑戦し続けた。,He persevered through harsh conditions and continued to challenge himself.
上,かみ,first volume; superior quality; governmental,彼女はその上司に対して尊敬の念を抱いている。,She deeply respects her superior.
神,かみ,god,神々は人々の信仰の対象として崇拝されている。,Gods are worshipped as objects of faith by people.
雷,かみなり,thunder,雷の音が空に響いた。,The sound of thunder echoed in the sky.
髪の毛,かみのけ,hair (head),彼女は美しい金髪の毛を持っている。,She has beautiful golden hair.
科目,かもく,"(school) subject, curriculum, course",新しい学校で好きな科目を選ぶことができる。,You can choose your favorite subjects at the new school.
かもしれない,かもしれない,"maybe, perhaps",来週雨が降るかもしれない。,It may rain next week.
かゆい,かゆい,"itchy, itching",虫に刺されて、肌がかゆい。,"I got bitten by a bug, and my skin is itchy."
歌謡,かよう,"song, ballad",その歌謡は人々の心を癒す力がある。,That ballad has the power to soothe people's hearts.
空,から,empty,彼は空っぽの心を持っていた。,He had an empty heart.
殻,から,"shell, husk, hull",殻を壊して、中身を取り出す。,Break the shell and take out the content.
柄,がら,pattern; build; character,その花瓶には美しい柄が施されていた。,The vase had a beautiful pattern on it.
刈る,かる,"to cut (hair), to mow (grass), to harvest",畑で稲を刈る作業が始まった。,The work of harvesting rice in the field has begun.
河,かわ,"river, stream",その小さな町を流れる河は清流だ。,The river flowing through the small town is clear.
皮,かわ,"skin, hide, leather",彼女は高品質なレザーバッグを持っている。,She has a high-quality leather bag.
革,かわ,leather,そのコートは本物の革で作られている。,The coat is made of genuine leather.
可愛そう,かわいそう,"poor, pitiable, pathetic",路上でかわいそうな子犬が泣いている。,A pitiful puppy is crying on the street.
可愛らしい,かわいらしい,"lovely, sweet",彼女は可愛らしい笑顔で人々を楽しませる。,She entertains people with her lovely smile.
乾かす,かわかす,to dry,服を外に干して、乾かす。,Hang the clothes outside to dry.
渇く,かわく,to be thirsty,運動後は喉が渇く。,I get thirsty after exercising.
代る,かわる,"to take the place of, to relieve, to be substituted for",欠席した生徒の代わりに友達がノートを取る。,A friend takes notes in place of an absent student.
缶,かん,"can, tin",缶詰は長期保存が可能だ。,Canned food can be stored for a long time.
勘,かん,"perception, intuition, the sixth sense",彼は人の感情を読む勘が鋭い。,He has a sharp intuition for reading people's emotions.
考え,かんがえ,"thinking, thought, ideas",彼は深く考え込んでいる様子だ。,He seems to be deeply lost in thought.
感覚,かんかく,"sense, sensation",五感が優れているという感覚がある。,There is a sense of having excellent senses.
間隔,かんかく,"space, interval, SPC",列車の出発間隔が正確に管理されている。,The departure intervals of the trains are accurately managed.
観客,かんきゃく,"audience, spectator(s)",スタジアムには多くの観客が試合を見に訪れた。,Many spectators visited the stadium to watch the game.
環境,かんきょう,"environment, circumstance",地球温暖化は環境への影響を引き起こしている。,Global warming is causing an impact on the environment.
歓迎,かんげい,"welcome, reception",新入社員を歓迎する会が開かれた。,A welcoming party for new employees was held.
観光,かんこう,sightseeing,その町は有名な観光地だ。,The town is a famous tourist destination.
観察,かんさつ,"observation, survey",科学者は彗星の観察を続けている。,Scientists are continuing to observe the comet.
感じ,かんじ,"feeling, sense, impression",彼女の表情から感じ取れるものがある。,There is something that can be sensed from her expression.
感謝,かんしゃ,"thanks, gratitude",彼は日常の小さなことにも感謝の気持ちを持っている。,He has a sense of gratitude for even the small things in daily life.
患者,かんじゃ,patient,病院でたくさんの患者が治療を待っている。,Many patients are waiting for treatment at the hospital.
勘定,かんじょう,"calculation, counting, consideration",会計士は会社の勘定を管理している。,The accountant manages the company's accounts.
感情,かんじょう,"emotion(s), feeling(s), sentiment",彼女の感情が表情で読み取れる。,Her emotions can be read through her expression.
感じる,かんじる,"to feel, to sense",その絵画から強い感情を感じる。,I feel strong emotions from that painting.
感心,かんしん,admiration,彼の才能には誰もが感心する。,Everyone admires his talent.
関心,かんしん,"concern, interest",環境問題に関心を持つ人が増えている。,The number of people concerned about environmental issues is increasing.
関する,かんする,"to concern, to be related",その問題は私たち全員に関する重要な課題だ。,The issue is an important matter that concerns all of us.
完成,かんせい,"complete, completion; perfection",このプロジェクトは完成した。,This project is complete.
完全,かんぜん,"perfection, completeness",彼の計画は完全だ。,His plan is perfect.
乾燥,かんそう,"dry, arid, dehydrated",この地域は乾燥している。,This area is dry.
感想,かんそう,"(one's) impressions, (one's) thoughts",映画の感想をシェアしよう。,Let's share our thoughts on the movie.
感動,かんどう,"being deeply moved, excitement",彼の演技に感動した。,I was deeply moved by his performance.
監督,かんとく,"supervision, control, (movie) director",その映画の監督は有名だ。,The director of that movie is famous.
管理,かんり,"control, management (e.g., of a business)",会社の管理はしっかりしている。,The company's management is solid.
完了,かんりょう,"completion, conclusion",作業は完了しました。,The task is completed.
関連,かんれん,"relation, connection, relevance",この事柄は彼に関連している。,This matter is related to him.
議員,ぎいん,"member of the Diet, congress, or parliament",彼は優秀な議員だ。,He is an excellent member of the Diet.
記憶,きおく,"memory, recollection, remembrance",彼女の記憶力は素晴らしい。,Her memory is amazing.
気温,きおん,temperature (weather - not used for things),今日の気温は高い。,Today's temperature is high.
機械,きかい,"machine, machinery",この工場には多くの機械がある。,There are many machines in this factory.
器械,きかい,instrument,手術用の器械を準備してください。,Please prepare the surgical instruments.
議会,ぎかい,"Diet, congress, parliament",議会で重要な議題が提案された。,An important topic was proposed in the Diet.
期間,きかん,"period, term",契約の期間は1年です。,The contract period is one year.
機関,きかん,"engine; institution, organization",この機関は市民にサービスを提供している。,This organization provides services to the public.
企業,きぎょう,"industry, business, undertaking",この企業は成長している。,This industry is growing.
効く,きく,to be effective,この薬はよく効く。,This medicine works well.
期限,きげん,"deadline, term",報告書の提出期限は明日です。,The deadline for submitting the report is tomorrow.
機嫌,きげん,"humor, temper, mood",彼女の機嫌が悪い。,She is in a bad mood.
気候,きこう,climate,この地域の気候は穏やかだ。,The climate in this area is mild.
岸,きし,"bank, coast, shore",泳げ！岸まであと少し！,Swim! Just a little further to the shore!
生地,きじ,fabric; dough,パンを作るために生地をこねる。,Knead the dough to make bread.
記事,きじ,"article, news story",新聞に面白い記事が載っている。,There is an interesting article in the newspaper.
技師,ぎし,"engineer, technician",彼は優秀な技師だ。,He is a skilled engineer.
記者,きしゃ,reporter,その事件の真相を追う記者がいた。,There was a reporter investigating the truth of the incident.
傷,きず,"wound, injury, hurt",彼は軽い傷を負った。,He received a minor injury.
期待,きたい,"expectation, anticipation, hope",この映画には高い期待が寄せられている。,There are high expectations for this movie.
気体,きたい,"vapor, gas",気体と固体の違いを教えて。,Explain the difference between gas and solid.
帰宅,きたく,returning home,帰宅後に電話します。,I will call you after I return home.
貴重,きちょう,"precious, valuable",大切な友情はとても貴重だ。,True friendship is very valuable.
議長,ぎちょう,chairman,会議の議長が新しい方に変わった。,There is a new chairman for the meeting.
きちんと,きちんと,"precisely, accurately",仕事をきちんとやりなさい。,Do your job properly.
きつい,きつい,"tight, close, intense",この靴はきつくて歩きにくい。,These shoes are tight and uncomfortable to walk in.
気付く,きづく,"to notice, to recognize, to become aware of",彼女は私の存在に気付いた。,She noticed my presence.
気に入る,きにいる,"to like, to be please",この曲が彼に気に入った。,He liked this song.
記入,きにゅう,"entry, filling in of forms",必要事項をすべて記入してください。,Please fill in all the necessary items.
記念,きねん,"commemoration, memory",彼らは結婚記念日を祝った。,They celebrated their wedding anniversary.
機能,きのう,"function, faculty",このアプリには便利な機能がたくさんある。,This app has many useful functions.
気の毒,きのどく,"pitiful, a pity",彼の姿を見て、気の毒な気持ちになった。,I felt pitiful seeing his appearance.
寄付,きふ,"contribution, donation",彼は毎月、寄付をしている。,He makes a donation every month.
希望,きぼう,"hope, wish, aspiration",夢を叶える希望を持っている。,I have hope to make my dreams come true.
基本,きほん,"basic, basis",成功するためには、基本を押さえることが重要だ。,"To succeed, it is important to grasp the basics."
決まり,きまり,"settlement, conclusion, rule",社会には色々な決まりがある。,There are many rules in society.
気味,きみ,"-like, -looking, -looked",彼の態度が急に冷たい気味だ。,His attitude suddenly seemed cold.
奇妙,きみょう,"strange, queer, curious",その事件は奇妙な結末を迎えた。,That incident ended in a strange way.
義務,ぎむ,"duty, obligation, responsibility",教育は親の義務である。,Education is a parent's duty.
疑問,ぎもん,"question, problem, doubt",彼の言葉には疑問が残った。,Doubts remained about his words.
逆,ぎゃく,"reverse, opposite",彼は逆の考えを持っている。,He has the opposite opinion.
キャプテン,キャプテン,captain,野球チームのキャプテンは彼だ。,He is the captain of the baseball team.
キャンプ,キャンプ,camp,夏休みにキャンプに行った。,I went camping during summer vacation.
旧,きゅう,ex-,旧友と久しぶりに再会した。,I reunited with an old friend after a long time.
級,きゅう,"class, grade, rank",彼は上級クラスに進んだ。,He advanced to the advanced class.
球,きゅう,"globe, sphere, ball",野球のボールは丸い球だ。,A baseball is a round ball.
休暇,きゅうか,"vacation, holiday, day off",夏休みは休暇を楽しむ時間だ。,Summer vacation is a time to enjoy a holiday.
休憩,きゅうけい,"rest, break, intermission",仕事の合間に休憩を取る。,Take a break during work.
急激,きゅうげき,"sudden, precipitous, radical",急激な変化が生じた。,A sudden and drastic change occurred.
吸収,きゅうしゅう,"absorption, suction",新入社員は新しい知識を吸収する。,New employees absorb new knowledge.
救助,きゅうじょ,"relief, aid, rescue",犬が川で救助された。,The dog was rescued from the river.
急速,きゅうそく,"rapid (e.g., progress)",科学技術は急速に進化している。,Science and technology are advancing rapidly.
休息,きゅうそく,"rest, relief, relaxation",疲れたら少し休息をとりなさい。,Take a rest when you are tired.
急に,きゅうに,suddenly,急に雨が降り出した。,It suddenly started raining.
給料,きゅうりょう,"salary, wages",毎月の給料を振込みにしている。,I have my monthly salary direct deposited.
器用,きよう,"skillful, handy",彼は器用で手先が器用だ。,He is skillful with his hands.
教科書,きょうかしょ,textbook,新しい教科書を買わなければならない。,I have to buy a new textbook.
競技,きょうぎ,"game, match, contest",陸上競技をすることが好きだ。,I like doing track and field sports.
行儀,ぎょうぎ,manners,公共の場では良い行儀をする。,Behave well in public places.
供給,きょうきゅう,"supply, provision",市場には需要と供給がある。,The market has demand and supply.
教授,きょうじゅ,"teaching, instruction; professor",彼は大学で教授を務めている。,He serves as a professor at the university.
強調,きょうちょう,"emphasis, stress, stressed point",コミュニケーションにおいては強調が重要だ。,Emphasis is important in communication.
共通,きょうつう,"commonness, mutual",共通の趣味が友情を深める。,Common hobbies deepen friendships.
共同,きょうどう,"cooperation, association, collaboration",プロジェクトを共同で進める。,Cooperate on the project.
恐怖,きょうふ,"fear, terror",闇の中では恐怖が襲ってくる。,Fear creeps in the darkness.
協力,きょうりょく,"cooperation, collaboration",仲間と協力して目標を達成する。,Collaborate with colleagues to achieve goals.
強力,きょうりょく,"powerful, strong",彼は強力なリーダーシップを持っている。,He has strong leadership.
許可,きょか,"permission, approval",プロジェクトを始める前に許可を取る。,Get permission before starting the project.
局,きょく,"office, bureau, station(TV, radio)",テレビ局で働いている。,I work at a television station.
巨大,きょだい,"huge, gigantic, enormous",この建物は巨大な規模だ。,This building is of gigantic scale.
嫌う,きらう,"to hate, to dislike, to loathe",彼は嘘を嫌っている。,He hates lies.
霧,きり,"fog, mist",霧が濃くなってきた。,The fog is getting thicker.
切れ,きれ,"cloth, piece, cut",切れた布を捨てる。,Throw away the piece of cloth.
切れる,きれる,"to cut well, to be sharp; to break (off)",刃がとてもよく切れる。,The blade cuts very well.
記録,きろく,"record, minutes, document",会議の記録を取る。,Take records of the meeting.
議論,ぎろん,"argument, discussion, dispute",激しい議論が続いた。,Intense arguments continued.
金,きん,"gold, metal; money",金を節約する。,Save money.
銀,ぎん,silver,テーブルに銀のティースプーンがある。,There is a silver teaspoon on the table.
禁煙,きんえん,No Smoking,このエリアは禁煙です。,This area is non-smoking.
金額,きんがく,amount of money,全部でいくらの金額か教えてください。,Please tell me the total amount.
金庫,きんこ,"safe, vault",金庫の暗証番号を忘れた。,I forgot the safe's password.
禁止,きんし,"prohibition, ban",駐車禁止の看板がある。,There is a no parking sign.
金銭,きんせん,"money, cash",金銭のトラブルが起きた。,There was a money issue.
金属,きんぞく,metal,金属には触らないでください。,Please do not touch the metal.
近代,きんだい,modern times,近代の技術は進歩している。,Modern technology is advancing.
緊張,きんちょう,"tension, mental strain, nervousness",面接で緊張した。,I was nervous during the interview.
筋肉,きんにく,"muscle, sinews",筋肉を鍛えるためにトレーニングをする。,I train to build muscles.
金融,きんゆう,"finance, money and banking",金融機関で口座を開設する。,Open an account at a financial institution.
句,く,phrase,この文にはいくつかの句が入っています。,This sentence contains several phrases.
食う,くう,(male) (vulg.) to eat,男は牛を食った。,The man ate beef.
偶然,ぐうぜん,"(by) chance, unexpectedly",彼に偶然会った。,I happened to meet him by chance.
臭い,くさい,"stinky, smelly, bad-smelling",この部屋は臭い。,This room stinks.
鎖,くさり,chain,鎖が錆びている。,The chain is rusted.
腐る,くさる,"to rot, to go bad",果物が腐っている。,The fruit is rotten.
癖,くせ,"a habit (often a bad habit), peculiarity",彼は変わった癖を持っている。,He has some strange habits.
管,くだ,"pipe, tube",水を管で運ぶ。,Transport water through pipes.
具体,ぐたい,"concrete, tangible, material",具体的な例を挙げて説明する。,Give concrete examples to explain.
下り,くだり,down-train (going away from Tokyo),下りの電車に乗る。,Take the train going downhill.
下る,くだる,"to get down, to descend",階段を下って行く。,Go down the stairs.
苦痛,くつう,"pain, agony",激しい苦痛を感じる。,Experience intense pain.
ぐっすり,ぐっすり,"sound asleep, fast asleep",昨夜はぐっすり眠れた。,I slept soundly last night.
区別,くべつ,"distinction, differentiation, classification",二つの概念の区別を明確にする。,Clearly differentiate between the two concepts.
組,くみ,"class, team, set",彼らは組を作って活動する。,They form groups and work together.
組合,くみあい,"association, union",従業員組合で働いている。,Working in a labor union.
組む,くむ,to put together,パズルを組む。,Put together a puzzle.
汲む,くむ,"to draw, to scoop, to pump",井戸から水を汲む。,Draw water from the well.
酌む,くむ,to serve sake,友達に酒を酌んでやる。,Serve sake to a friend.
悔しい,くやしい,"regrettable, mortifying, vexing",失敗して悔しい思いをした。,I felt regretful after failing.
位,くらい,"grade, rank, about",その人は頭の中で位をつける。,That person ranks things in his mind.
暮らし,くらし,living; life style,彼女は質素な暮らしをしている。,She lives a modest lifestyle.
クラシック,クラシック,classic(s),クラシック音楽を聴く。,Listen to classical music.
